transactions_old,transactions_new,city,lat,lon
6.6116          ,9.996            ,New York City,40.71455 ,-74.007124
4.659           ,6.6116           ,Los Angeles  ,34.0522  ,-118.2437
3.854           ,4.659            ,Chicago      ,41.8781  ,-87.6298
2.926           ,3.854            ,Houston      ,29.7604  ,-95.3698
2.8242          ,2.926            ,Philadelphia ,39.9526  ,-75.1652
2.638           ,2.8242           ,Phoenix      ,33.4484  ,-112.0740
2.658           ,2.638            ,San Antonio  ,29.4241  ,-98.4936
2.370           ,2.658            ,San Diego    ,32.7157  ,-117.1611
1.944           ,2.370            ,Dallas       ,32.7767  ,-96.7970
9.996           ,1.944            ,San Jose     ,37.3382  ,-121.8863
